id,nombre,descripcion,casa_productora,precio,existencia
24,Nitrofurantoin (monohydrate/macrocrystals),"Post-traumatic urethral stricture, male, meatal","Eon Labs, Inc.",$728.06,11
25,MiraLAX,"Unsp open wound of left lesser toe(s) w damage to nail, init",Cardinal Health,$619.83,15
26,Tilia Fe,"Mech compl of int fix of left femur, sequela","Watson Pharma, Inc.",$852.19,4
27,Nabumetone,Anterior dislocation of left ulnohumeral joint,Par Pharmaceutical Inc.,$598.36,7
28,TRUFFLE EX WRINKLE SLEEPING MASK,"Displ commnt fx shaft of unsp femr, 7thP","NATURE REPUBLIC CO., LTD.",$353.42,11
29,Pradaxa,Other specified hereditary hemolytic anemias,Boehringer Ingelheim Pharmaceuticals Inc.,$336.73,12
30,Ignatia Bryophyllum,"Pain due to nervous system prosth dev/grft, init",Uriel Pharmacy Inc.,$456.36,4
31,Multi-Vitamin Fluoride Drops,"Unilateral post-traumatic osteoarthritis, unspecified hip","H.J. Harkins Company, Inc.",$295.99,7
32,Doxycyclate Hyclate,Dissection of aorta,"Golden State Medical Supply, Inc.",$538.37,5
33,Prednisone,Congenital renal artery stenosis,REMEDYREPACK INC.,$298.98,4
34,Vicks VapoDrops,"Sprain of other specified parts of left knee, sequela",Procter & Gamble Manufacturing Company,$527.44,2
35,Quality Choice Cold and Sore Throat,"Antepartum hemorrhage with afibrinogenemia, first trimester",Chain Drug Marketing Association,$688.82,9
36,RHIZOPUS ARRHIZUS VAR ARRHIZUS,Drug-induced tremor,"ALK-Abello, Inc.",$658.24,4
37,Noble Lion Medicated Balm,"Nondisplaced Zone I fracture of sacrum, sequela","ABBP (ARRINGTON, BATTLE, BELL & PERRY), LLC",$633.19,5
38,dextroamphetamine sulfate,Underdosing of unspecified psychodysleptics,"Talec Pharma, LLC",$45.20,13
39,"Pollens - Weeds and Garden Plants, Sagebrush, Mugwort Artemisia vulgaris","Insect bite (nonvenomous) of scrotum and testes, subs encntr",Jubilant HollisterStier LLC,$88.45,7
40,TIGAN,"Episcleritis periodica fugax, left eye",REMEDYREPACK INC.,$789.04,2
41,IQ Dental Mepivacaine,"Extreme immaturity of NB, gestatnl age 26 completed weeks",IQ Dental,$809.61,11
42,CLADOSPORIUM SPHAEROSPERMUM,Oth place in single-family (private) house as place,"ALK-Abello, Inc.",$202.12,13
43,Brontuss,Hemiplga following nontraumatic subarachnoid hemorrhage,Portal Inc.,$475.44,3
44,4 in 1 Pressed Mineral SPF 15 Blush Medium,Deviated nasal septum,PUR MINERALS,$734.15,3
45,Orapred,"Nondisp intartic fx unsp calcaneus, subs for fx w routn heal",Concordia Pharmaceuticals Inc.,$265.26,3
46,Moore Medical Antacid,"Nondisp seg fx shaft of unsp tibia, 7thN",Moore Medical LLC,$172.60,1
47,balance-n-brighten,"Ped w convey injured in collision w hv veh in traf, sequela",LAURA GELLER MAKE UP INC.,$121.28,5
48,Secura EPC Skin Care Starter Kit,"Infection of intervertebral disc (pyogenic), lumbar region","Smith & Nephew, Inc.",$30.05,9
49,Allergenic Extracts Standardized Mite,Encounter for examination and observation for oth reasons,"Greer Laboratories, Inc.",$98.30,7
50,Laxative pills,"Disp fx of lateral malleolus of unsp fibula, 7thN",Freds Inc,$779.79,4
51,Bio Argimony,"Toxic effect of cobra venom, accidental, init","BioActive Nutritional, Inc.",$634.71,4
52,Xolox,Conjunctival hyperemia,Rebel Distributors Corp,$920.90,14
53,HYDRACLEAR HYDRATING ACNE GEL,"Disp fx of lateral malleolus of r fibula, 7thG","KATE SOMERVILLE SKINCARE, LLC",$186.66,3
54,Aqua Rush Serum,"Pnctr w/o fb of unsp eyelid and periocular area, sequela","AMI Cosmetic Co.,Ltd.",$756.15,15
55,Saccharomyces,"Adverse effect of unsp drug/meds/biol subst, init","Antigen Laboratories, Inc.",$902.76,7
56,FAST RELIEF ARTROSAMIN,"Displaced transverse fx shaft of right ulna, sequela",Chemco Corporation,$23.50,8
57,flormar REBORN BB SUNSCREEN BROAD SPECTRUM SPF 30 CP07 Nude Beige,"Laceration without foreign body, right knee, init encntr",Kosan Kozmetik Sanayi ve Ticaret A.S.,$391.70,1
58,MENOMUNE - A/C/Y/W-135 COMBINED,"Poisoning by antineopl and immunosup drugs, assault, sequela",Sanofi Pasteur Inc.,$502.97,9
59,Navy Bean,"Person outside 3-whl mv inj in clsn w hv veh in traf, subs","Antigen Laboratories, Inc.",$30.64,1
60,Exelon,"Toxic effect of methanol, assault, sequela","Physicians Total Care, Inc.",$755.38,2
61,Amoxicillin,"Torus fracture of upper end of left humerus, init",Teva Pharmaceuticals USA Inc,$985.44,3
62,ENALAPRIL MALEATE,Type 1 diabetes mellitus with other specified complication,Wockhardt USA LLC.,$674.64,5
63,Hydrochlorothiazide,"Residual stage of open-angle glaucoma, unspecified eye",Carilion Materials Management,$169.53,6
64,Gnaphalium Stannum,"Dislocation of sacroiliac and sacrococcygeal joint, init",Uriel Pharmacy Inc.,$857.20,6
65,Tranexamic Acid,"Other specified injuries of thyroid gland, subs encntr","APP Pharmaceuticals, LLC",$623.09,1
66,Metformin Hydrochloride,Oth diab with prolif diabetic rtnop with trctn dtch macula,"PD-Rx Pharmaceuticals, Inc.",$232.69,9
67,Octreotide Acetate,"Oth fx shaft of rad, unsp arm, subs for clos fx w nonunion",SUN PHARMACEUTICAL INDUSTRIES LIMITED,$91.00,12
68,Lorazepam,"Displ spiral fx shaft of l tibia, init for opn fx type I/2","Hospira, Inc.",$439.78,9
69,Triple Antibiotic,Animal-rider injured in collision w rail trn/veh,Rite Aid Corporation,$95.94,14
70,LISINOPRIL,"Displ lateral mass fx 1st cervcal vert, 7thD",Lake Erie Medical DBA Quality Care Products LLC,$300.58,14
71,Desmopressin Acetate,"Pathological fracture, left finger(s)",BluePoint Laboratories,$376.26,3
72,Allopurinol,Other superficial bite of right ring finger,Bryant Ranch Prepack,$620.40,4
73,Dots Apple Cinnamon Anti-Bacterial Hand Sanitizer,Laceration of blood vessel of right index finger,ALILY (ZHANGZHOU) BATH PRODUCTS LTD.,$94.27,4
74,OP Dark Tanning Gel 4,Fracture of lateral condyle of humerus,"Sun & Skin Care Research, LLC",$95.56,8
75,GAS AND COLIC KIDS RELIEF,"Strain of left quadriceps muscle, fascia and tendon, subs",HOMEOLAB USA INC,$839.23,4
76,FreshKote Lubricant Eye Drops,"Disp fx of l tibial spin, 7thM","FOCUS Laboratories, Inc.",$502.36,13
77,Cough and Cold,"Traum hemor cereb, w LOC >24 hr w/o ret consc w surv, subs","Selder, S.A. de C.V.",$763.08,3
78,Telmisartan,"Toxic effect of unsp gases, fumes and vapors, accidental","Glenmark Generics Inc., USA",$36.10,12
79,Fire Ant,Other urethral stricture,"Nelco Laboratories, Inc.",$103.25,2
80,Irbesartan,"Other physeal fracture of right calcaneus, init",American Health Packaging,$287.54,11
81,Hydromorphone HCl,"Other specified injuries of unspecified foot, subs encntr",Cantrell Drug Company,$958.41,3
82,Follistim AQ,"Other specified disorders of synovium and tendon, elbow",Organon USA Inc.,$244.36,5
83,Bumetanide,"Nondisp fx of lateral condyle of right femur, init",Baxter Healthcare Corporation,$988.88,13
84,Medi Stem Eye,"Lac w/o fb of r frnt wl of thorax w penet thor cavity, subs","AMI Cosmetic Co.,Ltd.",$618.38,2
85,Metoclopramide,Laceration w/o fb of l little finger w damage to nail,American Health Packaging,$584.50,5
86,OXYCODONE AND ACETAMINOPHEN,"Unsp fracture of right femur, subs for clos fx w malunion","Mallinckrodt, Inc.",$930.11,11
87,Carvedilol,Other specified disorders of breast,Mylan Institutional Inc.,$689.86,5
88,Meteoric Iron Prunus,Pilar and trichodermal cyst,Uriel Pharmacy Inc.,$261.04,15
89,healthy accents multi symptom cold,"Nondisp fx of ant wall of l acetab, subs for fx w routn heal",DZA Brands LLC,$914.94,13
90,Good Sense Childrens Pain and Fever,"Toxic effect of venom of black widow spider, self-harm, init",L. Perrigo Company,$758.38,6
91,DR.ISAO VITA WHITE SERUM,"Adverse effect of antineoplastic and immunosup drugs, subs",IASO Inc,$419.56,1
92,Sisal,Toxic effect of other specified inorganic substances,"Nelco Laboratories, Inc.",$584.33,15
93,Nabumetone,"Exposure to ignition of oth clothing and apparel, subs","Blenheim Pharmacal, Inc.",$744.68,1
94,Crest 3D White,Subluxation and dislocation of C1/C2 cervical vertebrae,The Procter & Gamble Manufacturing Company,$246.50,11
95,Equate Cool and Heat,"Unsp athscl nonaut bio bypass of the extremities, left leg",Wal-Mart Stores Inc,$147.48,6
96,donepezil hydrochloride,"Sltr-haris Type II physl fx upr end rad, unsp arm, 7thK",McKesson Packaging Services a business unit of McKesson Corporation,$76.99,9
97,Pravastatin Sodium,"Laceration of dorsal vein of right foot, initial encounter","MedVantx, Inc.",$659.40,15
98,Flurazepam,"Major depressive disorder, single episode","Golden State Medical Supply, Inc.",$484.67,15
99,Retisert,"Unsp inj msl/fasc/tnd post grp at thi lev, unsp thigh, sqla",Bausch & Lomb Incorporated,$947.48,3
100,Amlodipine besylate/atorvastatin calcium,Occup of 3-whl mv injured in clsn w statnry object nontraf,Mylan Pharmaceuticals Inc.,$755.96,7
101,Inflammation,"Person outsd 3-whl mv inj in nonclsn trnsp acc nontraf, subs",Apotheca Company,$961.00,6
102,Gelato APF,"Other contact with rat, sequela","Mycone Dental Supply Co., Inc DBA Keystone Industries and Deepak Products Inc",$481.16,1
103,Desipramine Hydrochloride,"Unspecified superficial injury of right forearm, init encntr",KAISER FOUNDATION HOSPITALS,$488.41,4
104,Acyclovir,"Diab with prolif diabetic rtnop with trctn dtch macula, bi",Rebel Distributors Corp,$412.05,6
105,Correct and Perfect Spot Treatment,"Poisoning by chloramphenicol group, self-harm, sequela","Dr. Dennis Gross Skincare, LLC",$833.65,3
106,Methocarbamol,"Accidental malfunction of hunting rifle, subs encntr",Sandoz Inc,$807.15,6
107,Picato,Other disorders of the right eye following cataract surgery,LEO Pharma Inc.,$884.86,9
108,DEPRESSION COMPOSITION,Sucked into jet engine,"Synergy Formulas, Inc.",$241.03,5
109,SHISEIDO SHEER MATIFYING COMPACT (REFILL),"Toxic effect of carb monx from utility gas, assault, subs","SHISEIDO CO., LTD.",$362.36,6
110,Eve Lom Brilliant Cover Concealer Broad Spectrum SPF 15 Sunscreen,"Parasomnia, unspecified",Space Brands Limited,$906.08,1
111,Aspirin,"Mature T/NK-cell lymphomas, unsp, intrathoracic lymph nodes","Bedrock Brands, LLC (ST. JOSEPH)",$356.25,15
112,"Standardized Mite, Dermatophagoides pteronyssinus, Intradermal, 30 AU per mL","Displaced fracture of body of unspecified talus, sequela",Jubilant HollisterStier LLC,$926.87,13
113,Moxifloxacin,Disorders of acoustic nerve,Dr. Reddy's Laboratories Limited,$650.98,15
114,Vicodin,"Ped w convey injured in collision w pedl cyc nontraf, init",AbbVie Inc.,$925.01,10
115,GLUCOPHAGE,"Other secondary chronic gout, right shoulder, with tophus","PD-Rx Pharmaceuticals, Inc.",$605.13,9
116,Degree,"Pre-existing type 1 diabetes mellitus, in the puerperium",Conopco Inc. d/b/a Unilever,$335.98,6
117,Renes Carbo Special Order,"Leakage of coronary artery bypass graft, sequela",Uriel Pharmacy Inc.,$709.42,3
118,Amitriptyline Hydrochloride,"Unsp fx head of unsp femur, subs for clos fx w routn heal",Mylan Pharmaceuticals Inc.,$943.87,13
119,Metronidazole,Pressure ulcer of unspecified hip,BluePoint Laboratories,$992.67,4
120,Venlafaxine hydrochloride,"Oth traum nondisp spondylolysis of sixth cervcal vert, 7thK",Dr. Reddy's Laboratories Limited,$437.38,12
121,CVS COLD AND HOT MEDICATED XL,"Oth disp fx of upper end of unsp humerus, init for opn fx","CVS PHARMACY, INC.",$454.36,1
122,ROPINIROLE HYDROCHLORIDE,Traumatic rupture of unsp ulnocarpal (palmar) ligament,Major Pharmaceuticals,$303.71,7
123,Synthroid,Fracture of one rib,State of Florida DOH Central Pharmacy,$560.88,2
124,Zyprexa,"Corrosion of respiratory tract, part unsp, init encntr","Dispensing Solutions, Inc.",$598.30,15
125,"Terrasil Itch, Rash and Pain Relief","Wedge comprsn fx fifth lum vert, subs for fx w routn heal","Aidance Skincare & Topical Solutions, LLC",$313.80,1
126,Aplicare Povidone-iodine Scrub,Beta thalassemia,"Aplicare, Inc.",$165.07,5
127,Lovastatin,"Stress fracture, right finger(s)",Rebel Distributors Corp,$417.08,12
128,FungaZoil Advanced,"Dermatochalasis of unspecified eye, unspecified eyelid",Pedifix,$377.15,11
129,ropinirole hydrochloride,Encounter for exam and obs following alleged physical abuse,Cadila Healthcare Limited,$453.96,10
130,Gillette Mach 3 Invisible,Inadequate sleep hygiene,Procter & Gamble Manufacturing Company,$446.32,8
131,Felodipine,"Underdosing of unsp systemic anti-infect/parasit, sequela",REMEDYREPACK INC.,$132.04,2
132,Berry Scented Hand Sanitizer,"Strain of intrinsic msl/tnd at ank/ft level, left foot","Townley, Inc.",$556.89,5
133,Flu Relief Therapy,NIHSS score 4,Walgreens,$545.52,10
134,Ranitidine,Superficial frostbite of unspecified finger(s),Valu Merchandisers Company,$599.01,4
135,Love and Beauty Peach Mango Anti-Bacterial Hand Sanitizer,Dislocation of metatarsophalangeal joint of unsp toe(s),ALILY (ZHANGZHOU) BATH PRODUCTS LTD.,$303.49,13
136,BAROX,"Oth fracture of upper end of left ulna, init for clos fx",Dr.JangLab Inc.,$942.97,13
137,Next Choice,"Driver of bus injured in collision w unsp mv in traf, init","H.J. Harkins Company, Inc.",$319.78,8
138,Bupropion Hydrochloride,"Vertebral artery compression syndromes, site unspecified",REMEDYREPACK INC.,$183.33,1
139,Tormentilla Cochlearia Menstrual Support,"Sltr-haris Type II physl fx low end rad, r arm, 7thP",Uriel Pharmacy Inc,$208.52,2
140,Dial For Men Dandruff Control Hair and Body Wash,"Stable burst fracture of T5-T6 vertebra, sequela",The Dial Corporation,$563.10,3
141,Daytime,"Psychological abuse, suspected","Premier Value (Chain Drug Consortium, LLC)",$861.88,8
142,Good Neighbor Pharmacy,"Burns of oth parts of unsp eye and adnexa, init encntr",AMERISOURCEBERGEN DRUG CORPORATION,$531.93,10
143,Hydrocodone Bitartrate And Acetaminophen,Varicose veins of left lower extremity with ulcer of calf,REMEDYREPACK INC.,$349.47,13
144,Pleo San Pseu,"Exposure to bed fire due to unsp burning material, sequela",Sanum Kehlbeck GmbH & Co. KG,$229.52,2
145,Quackgrass Pollen,Secondary neuroendocrine tumors,"Allermed Laboratories, Inc.",$827.99,12
146,AZITHROMYCIN,Person outside car injured in nonclsn trnsp accident nontraf,WOCKHARDT USA LLC.,$90.13,9
147,Tobramycin,Secondary malignant neoplasm of unsp part of nervous system,Mylan Institutional LLC,$354.16,9
148,AMBIEN,Sepsis due to Enterococcus,STAT Rx USA LLC,$170.50,7
149,Hydrocodone Bitartrate And Acetaminophen,"Coma scale, best motor response, obeys commands, admit",REMEDYREPACK INC.,$934.71,8
150,Vagistat-3,"Burn of second degree of unspecified thigh, subs encntr","Novartis Consumer Health, Inc.",$473.92,11
151,Famotidine,"Hit by falling object due to accident to fishing boat, init",REMEDYREPACK INC.,$954.93,15
152,Standardized Redtop Grass,"Sltr-haris Type III physl fx upr end rad, r arm, 7thD","Allermed Laboratories, Inc.",$41.33,5
153,Darby,"Exposure to tanning bed, sequela",Darby Dental Supply Co Inc,$122.59,6
154,Compro,"Nondisp fx of trapezium, right wrist, subs for fx w nonunion","PD-Rx Pharmaceuticals, Inc.",$79.86,10
155,Clear Proof Acne System,"Angular blepharoconjunctivitis, right eye",Mary Kay Inc.,$717.84,5
156,Esterified Estrogens and Methyltestosterone,"Unsp superficial injuries of breast, unsp breast, subs",ANIP Acquisition Company,$884.47,3
157,Babyganics,Pedestrian on foot injured in collision w hv veh in traf,"Autumn Harp, Inc.",$947.28,2
158,ENALAPRIL MALEATE,Acquired absence of unspecified wrist,Unit Dose Services,$440.36,9
159,PCXX NEUTRAL GEL PINA COLADA,"Nondisp fx of lateral cuneiform of r ft, 7thP",Ross Healthcare Inc.,$451.42,1
160,LEADER Caldyphen,Di George's syndrome,Cardinal Health,$212.74,10
161,Terazosin Hydrochloride,"Recurrent dislocation, elbow",REMEDYREPACK INC.,$878.59,1
162,BARLEY MALT,"Corros 1st deg of unsp site unsp lower limb, ex ank/ft, sqla","Allergy Laboratories, Inc.",$739.91,14
163,Any Mi Natural Magic BB No.5,Disp fx (avulsion) of medial epicondyle of left humerus,"K.N.Life Co., Ltd.",$232.30,13
164,NAPROXEN,"Subluxation of unsp interphaln joint of unsp finger, init",REMEDYREPACK INC.,$359.66,2
165,Viscum Tiliae,"Sltr-haris Type IV physl fx upper end humer, unsp arm, init",Uriel Pharmacy Inc,$464.10,9
166,Extra Strength Non-Aspirin,"Nondisp fx of intermed cuneiform of l foot, init for opn fx","VALUE MERCHANDISERS COMPANY, INC.",$587.31,14
167,Levofloxacin,"Disp fx of distal pole of navicular bone of r wrist, sequela",Greenstone LLC,$998.88,6
168,Neomycin and Polymyxin B Sulfates and Bacitracin Zinc,"Ankylosing hyperostosis, occipito-atlanto-axial region","Physicians Total Care, Inc.",$792.99,11
169,rx act nasal,"Pnctr of abd wall w fb, r low q w/o penet perit cav, sqla",H E B,$20.04,10
170,Unscented SPF 17,"Other specified injuries of external genitals, sequela","CoValence, Inc.",$472.41,8
171,Nystatin,Subcutaneous panniculitis-like T-cell lymphoma,Rebel Distributors Corp,$284.97,9
172,DOCTORS CHOICE,"Infections of cervix in pregnancy, second trimester",Massco Dental A Division of Dunagin Pharmaceuticals,$517.73,5
173,FEXOFENADINE HYDROCHLORIDE,"Assault by oth gas, air or spring-operated gun, subs encntr",Sun Pharmaceutical Industries Limited,$477.95,11
174,Eucerin Redness Relief Daily Perfecting,Subluxation of unsp interphalangeal joint of r mid finger,Beiersdorf Inc,$589.12,9
175,VELCADE,"Nondisp oblique fx shaft of humerus, right arm, sequela","Millennium Pharmaceuticals, Inc.",$961.67,2
176,Curad Oral Saline Laxative,"Occupant (driver) of hv veh injured in unsp traf, init","Medline Industries, Inc.",$502.62,12
177,Caduet,"Car driver injured in collision w SUV nontraf, sequela",Pfizer Laboratories Div Pfizer Inc,$369.26,11
178,Zicam,"Puncture wound with foreign body, right lower leg, sequela","Matrixx Initiatives, Inc.",$529.68,14
179,Chlorpromazine Hydrochloride,"Unsp injury of blood vessel of other finger, init encntr","NCS HealthCare of KY, Inc dba Vangard Labs",$602.42,11
180,RITE AID RENEWAL,Postthrom syndrome w ulcer and inflam of unsp low extrm,RITE AID CORPORATION,$925.39,10
181,Earths Best Cold Relief Vapor,"Driver of pk-up/van inj in clsn w 2/3-whl mv nontraf, sqla","The Hain Celestial Group, Inc",$16.43,10
182,Terrasil IPL Relief,Unsp comp of fb acc left in body following remov cath/pack,"Aidance Skincare & Topical Solutions, LLC",$939.32,6
183,Antacid,"Puncture wound w foreign body of unsp part of head, init",Meijer Distribution Inc,$111.53,6
184,Lunesta,Other specified injuries of left thigh,Bryant Ranch Prepack,$880.37,3
185,Verapamil Hydrochloride,Trochanteric bursitis,"Aphena Pharma Solutions - Tennessee, LLC",$132.94,3
186,Naturasil,"Complete traumatic amp of unsp forearm, level unsp, subs","Nature's Innovation, Inc.",$674.61,3
187,MATTE MOISTURE TINT SUNSCREEN BROAD SPECTRUM SPF 15,"Fx unsp tarsal bone(s) of unsp foot, subs for fx w nonunion",Jouer Cosmetics LLC,$881.73,7
188,Levetiracetam,"Passenger of amblnc/fire eng injured nontraf, init","Breckenridge Pharmaceutical, Inc.",$261.23,13
189,Metoprolol Tartrate,"Pathological fracture in neoplastic disease, ankle and foot",West-ward Pharmaceutical Corp,$333.85,3
190,Diltiazem Hydrochloride,"Prsn brd/alit a 3-whl mv inj pick-up truck, pk-up/van, subs",Mylan Institutional Inc.,$685.30,10
191,Methscopolamine Bromide,"Dislocation of oth carpometacarpal joint of right hand, subs",E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.,$14.77,14
192,Zanaflex,"Person outsd car inj in clsn w nonmtr vehicle in traf, init","Acorda Therapeutics, Inc.",$999.26,7
193,Paroxetine,Sprain of interphalangeal joint of left ring finger,Lake Erie Medical DBA Quality Care Products LLC,$344.17,5
194,Dry Idea,Complete traumatic MCP amputation of right ring finger,VVF Illinois Services,$478.07,10
195,Formaldehyde,"Pathological fracture, right foot, subs for fx w delay heal","Deseret Biologicals, Inc.",$860.65,9
196,Alprazolam,"Injury of conjunctiva and corneal abrasion w/o fb, left eye",Aidarex Pharmaceuticals LLC,$564.33,12
197,HYDRALIFE BB CREME Enhancing Moisturizer For Immediate Beauty SPF 30,"Sprain of interphalangeal joint of unsp finger, init encntr",Parfums Christian Dior,$492.48,10
198,Dextrose,Tuberculous peritonitis,Baxter Healthcare Corporation,$925.93,1
199,cephalexin,"Toxic effect of ingested mushrooms, accidental",Lake Erie Medical DBA Quality Care Products LLC,$979.77,15
200,Buspirone HCl,"Ankylosis, left ankle",Rebel Distributors Corp.,$442.80,5
201,Loratadine and Pseudoephedrine Sulfate,"Unsp mtrcy rider injured in clsn w hv veh nontraf, sequela",Chain Drug Marketing Association Inc.,$489.61,3
202,Loperamide Hydrochloride,"Corrosion of second degree of left axilla, subs encntr",Mylan Institutional Inc.,$295.98,6
203,SORGHUM HALEPENSE POLLEN,"Occup of pk-up/van inj in nonclsn trnsp acc in traf, sequela","ALK-Abello, Inc.",$326.43,8
204,Ailanthus,"Idiopathic chronic gout, left elbow, without tophus (tophi)","Nelco Laboratories, Inc.",$824.38,6
205,Enulose,"Inj flexor musc/fasc/tend unsp finger at forearm level, subs",Actavis Inc.,$326.17,14
206,Plan B One-Step,Mobile home as the place of occurrence of the external cause,"Teva Women's Health, Inc.",$120.50,12
207,Verapamil Hydrochloride,"Disp fx of unsp tibial tuberosity, 7thR","NCS HealthCare of KY, Inc dba Vangard Labs",$325.56,14
208,Prevacid SoluTab,Other specified hemorrhagic conditions,"Takeda Pharmaceuticals America, Inc.",$250.39,14
209,Dandruff,"Cannabis use, unspecified with anxiety disorder",Your Military,$65.09,14
210,RISPERIDONE,"Unsp inj extensor musc/fasc/tend r thm at wrs/hnd lv, subs",WOCKHARDT USA LLC,$77.42,15
211,ELOCTATE,"Disp fx of intermed cuneiform of unsp ft, 7thK",Biogen Idec Inc.,$638.02,5
212,Glipizide,Nondisplaced transverse fracture of right acetabulum,Apotex Corp.,$426.90,9
213,sunmark tension headache,"Unsp foreign body in esophagus causing oth injury, subs",McKesson,$247.30,7
214,Antipyrine and Benzocaine,"Displ avuls fx (chip fracture) of r talus, init for opn fx","County Line Pharmaceuticals, LLC",$130.70,2
215,Choice Personal Care Theraputic Blue Ice,"Nondisp fx of lunate, unsp wrist, init for clos fx",My Import Inc,$372.31,9
216,Zenchent,"Foreign body on external eye, part unspecified, right eye","Physicians Total Care, Inc.",$838.56,6
217,Tamsulosin hydrochloride,Unspecified fracture of lower end of right ulna,REMEDYREPACK INC.,$381.00,3
218,Diabetes,Struck by falling object on fishing boat,"Newton Laboratories, Inc.",$999.91,14
219,Anti-Bacterial Hand,"Oth extrartic fx low end l rad, init for opn fx type 3A/B/C","Bath & Body Works, Inc.",$679.02,3
220,good sense pain relief,"Fracture of base of skull, left side, sequela",L Perrigo Company,$139.94,4
221,Levothyroxine Sodium,Fistula of vagina to small intestine,REMEDYREPACK INC.,$352.23,9
222,DUAL ACTION CHERRY COUGH SUPPRESSANT ORAL ANESTHETIC,"Volume depletion, unspecified",Ricola Ag,$462.82,5
223,Bystolic,"Underdosing of unspecified narcotics, sequela","Physicians Total Care, Inc.",$798.92,3
224,Evamist,"Occupant (driver) of 3-whl mv injured in unsp traf, sequela","Physicians Total Care, Inc.",$351.20,10
225,Exuviance CoverBlend Skin Caring Foundation,"Age-rel osteopor w crnt path fx, unsp low leg, 7thP",NeoStrata Company Inc.,$282.88,2
226,Tranylcypromine Sulfate,Viral cardiomyopathy,"Par Pharmaceutical, Inc.",$803.93,3
227,Tramadol Hydrochloride,"Oth fx upper end of r radius, subs for clos fx w routn heal",Proficient Rx LP,$191.51,1
228,Adidas,Oth cond rel to interstit emphysema origin in perinat period,Coty US LLC,$380.14,12
229,Captopril,"Poisoning by macrolides, assault",Apotex Corp.,$187.57,6
230,Daytime,"Passenger on bus injured in clsn w ped/anml nontraf, init","Good Sense (Geiss, Destin & Dunn, Inc.)",$44.17,4
231,Olay Complete All Day,"Disp fx of posterior wall of right acetabulum, sequela",Procter & Gamble Manufacturing Company,$242.10,5
232,Live Better,Trichomonal prostatitis,The Great Atlantic & Pacific Tea Company,$46.14,6
233,Ceftriaxone Sodium,"Mech compl of ventricular intracranial shunt, subs",Sandoz Inc,$145.21,5
234,Hard Candy Correction Creme,"Unspecified disorder of synovium and tendon, left upper arm",Xtreme Color Inc.,$206.88,13
235,Escitalopram,"Severely displaced Zone I fracture of sacrum, init",Accord Healthcare Inc.,$564.34,4
236,Triple Antibiotic Plus Pain Relief,"Displ bicondylar fx unsp tibia, subs for clos fx w malunion","Kareway Product, Inc.",$32.73,1
237,Diazepam,"Nondisp pilon fx unsp tibia, init for opn fx type I/2",Cardinal Health,$620.20,2
238,Yeastaway,Contusion of front wall of thorax,Laboratoires Boiron,$939.11,13
